201				
Z	TKE	omega	TI	L
8.84060E-04	9.85277E-03	5.95745E+02	7.18992E-02	1.85130E-03
9.04910E-04	9.86087E-03	5.84929E+02	7.19289E-02	1.88631E-03
9.26110E-04	9.86718E-03	5.74389E+02	7.19520E-02	1.92153E-03
9.47640E-04	9.87169E-03	5.64113E+02	7.19685E-02	1.95698E-03
9.69510E-04	9.87439E-03	5.54093E+02	7.19784E-02	1.99265E-03
9.91730E-04	9.87530E-03	5.44321E+02	7.19818E-02	2.02851E-03
1.01429E-03	9.87442E-03	5.34786E+02	7.19787E-02	2.06459E-03
1.03721E-03	9.87174E-03	5.25481E+02	7.19690E-02	2.10086E-03
1.06049E-03	9.86729E-03	5.16398E+02	7.19529E-02	2.13733E-03
1.08412E-03	9.86105E-03	5.07529E+02	7.19302E-02	2.17399E-03
1.10811E-03	9.85305E-03	4.98869E+02	7.19011E-02	2.21083E-03
1.13247E-03	9.84328E-03	4.90410E+02	7.18656E-02	2.24785E-03
1.15720E-03	9.83176E-03	4.82146E+02	7.18236E-02	2.28504E-03
1.18230E-03	9.81849E-03	4.74069E+02	7.17752E-02	2.32241E-03
1.20777E-03	9.80349E-03	4.66175E+02	7.17205E-02	2.35993E-03
1.23362E-03	9.78676E-03	4.58459E+02	7.16593E-02	2.39760E-03
1.25985E-03	9.76831E-03	4.50915E+02	7.15919E-02	2.43541E-03
1.28646E-03	9.74816E-03	4.43538E+02	7.15181E-02	2.47336E-03
1.31346E-03	9.72631E-03	4.36325E+02	7.14380E-02	2.51143E-03
1.34084E-03	9.70279E-03	4.29270E+02	7.13517E-02	2.54962E-03
1.36862E-03	9.67760E-03	4.22370E+02	7.12591E-02	2.58790E-03
1.39679E-03	9.65076E-03	4.15620E+02	7.11603E-02	2.62628E-03
1.42535E-03	9.62228E-03	4.09016E+02	7.10553E-02	2.66475E-03
1.45431E-03	9.59217E-03	4.02556E+02	7.09442E-02	2.70327E-03
1.48367E-03	9.56045E-03	3.96233E+02	7.08269E-02	2.74186E-03
1.51343E-03	9.52713E-03	3.90047E+02	7.07035E-02	2.78049E-03
1.54359E-03	9.49223E-03	3.83992E+02	7.05739E-02	2.81916E-03
1.57416E-03	9.45575E-03	3.78066E+02	7.04383E-02	2.85784E-03
1.60513E-03	9.41772E-03	3.72266E+02	7.02966E-02	2.89652E-03
1.63651E-03	9.37815E-03	3.66588E+02	7.01489E-02	2.93520E-03
1.66830E-03	9.33705E-03	3.61031E+02	6.99951E-02	2.97384E-03
1.70051E-03	9.29444E-03	3.55591E+02	6.98353E-02	3.01244E-03
1.73312E-03	9.25033E-03	3.50266E+02	6.96695E-02	3.05097E-03
1.76614E-03	9.20475E-03	3.45053E+02	6.94978E-02	3.08943E-03
1.79958E-03	9.15771E-03	3.39949E+02	6.93201E-02	3.12779E-03
1.83343E-03	9.10921E-03	3.34952E+02	6.91364E-02	3.16603E-03
1.86769E-03	9.05929E-03	3.30060E+02	6.89468E-02	3.20414E-03
1.90237E-03	9.00795E-03	3.25271E+02	6.87512E-02	3.24209E-03
1.93746E-03	8.95521E-03	3.20582E+02	6.85498E-02	3.27987E-03
1.97297E-03	8.90109E-03	3.15992E+02	6.83425E-02	3.31744E-03
2.00889E-03	8.84560E-03	3.11498E+02	6.81292E-02	3.35479E-03
2.04522E-03	8.78876E-03	3.07098E+02	6.79101E-02	3.39191E-03
2.08196E-03	8.73060E-03	3.02790E+02	6.76851E-02	3.42877E-03
2.11912E-03	8.67112E-03	2.98572E+02	6.74543E-02	3.46534E-03
2.15669E-03	8.61033E-03	2.94443E+02	6.72176E-02	3.50160E-03
2.19466E-03	8.54827E-03	2.90400E+02	6.69750E-02	3.53753E-03
2.23305E-03	8.48493E-03	2.86442E+02	6.67265E-02	3.57310E-03
2.27184E-03	8.42035E-03	2.82567E+02	6.64722E-02	3.60829E-03
2.31103E-03	8.35454E-03	2.78773E+02	6.62121E-02	3.64307E-03
2.35063E-03	8.28751E-03	2.75059E+02	6.59460E-02	3.67742E-03
2.39062E-03	8.21928E-03	2.71423E+02	6.56741E-02	3.71131E-03
2.43102E-03	8.14987E-03	2.67863E+02	6.53964E-02	3.74473E-03
2.47180E-03	8.07929E-03	2.64378E+02	6.51127E-02	3.77762E-03
2.51298E-03	8.00755E-03	2.60966E+02	6.48231E-02	3.80999E-03
2.55455E-03	7.93467E-03	2.57625E+02	6.45275E-02	3.84179E-03
2.59650E-03	7.86067E-03	2.54354E+02	6.42260E-02	3.87301E-03
2.63884E-03	7.78555E-03	2.51151E+02	6.39185E-02	3.90362E-03
2.68155E-03	7.70932E-03	2.48014E+02	6.36050E-02	3.93359E-03
2.72463E-03	7.63200E-03	2.44942E+02	6.32853E-02	3.96290E-03
2.76808E-03	7.55360E-03	2.41933E+02	6.29595E-02	3.99153E-03
2.81190E-03	7.47412E-03	2.38985E+02	6.26275E-02	4.01945E-03
2.85608E-03	7.39356E-03	2.36097E+02	6.22892E-02	4.04663E-03
2.90061E-03	7.31193E-03	2.33266E+02	6.19445E-02	4.07307E-03
2.94549E-03	7.22923E-03	2.30491E+02	6.15933E-02	4.09873E-03
2.99071E-03	7.14546E-03	2.27769E+02	6.12355E-02	4.12361E-03
3.03628E-03	7.06061E-03	2.25099E+02	6.08710E-02	4.14768E-03
3.08217E-03	6.97468E-03	2.22479E+02	6.04995E-02	4.17091E-03
3.12839E-03	6.88766E-03	2.19906E+02	6.01211E-02	4.19330E-03
3.17493E-03	6.79954E-03	2.17379E+02	5.97353E-02	4.21483E-03
3.22178E-03	6.71030E-03	2.14894E+02	5.93421E-02	4.23549E-03
3.26894E-03	6.61992E-03	2.12450E+02	5.89412E-02	4.25527E-03
3.31639E-03	6.52838E-03	2.10043E+02	5.85324E-02	4.27417E-03
3.36414E-03	6.43567E-03	2.07672E+02	5.81154E-02	4.29217E-03
3.41217E-03	6.34173E-03	2.05333E+02	5.76897E-02	4.30926E-03
3.46048E-03	6.24653E-03	2.03023E+02	5.72552E-02	4.32545E-03
3.50905E-03	6.15003E-03	2.00739E+02	5.68113E-02	4.34075E-03
3.55789E-03	6.05220E-03	1.98478E+02	5.63578E-02	4.35514E-03
3.60698E-03	5.95304E-03	1.96237E+02	5.58942E-02	4.36864E-03
3.65631E-03	5.85252E-03	1.94013E+02	5.54204E-02	4.38125E-03
