-0.492188 7.54342
-0.476562 7.66928
-0.460938 7.80004
-0.445312 7.89024
-0.429688 7.93119
-0.414062 7.92286
-0.398438 7.88065
-0.382812 7.80783
-0.367188 7.71472
-0.351562 7.60742
-0.335938 7.49045
-0.320312 7.36702
-0.304688 7.23939
-0.289062 7.10909
-0.273438 6.97712
-0.257812 6.84414
-0.242188 6.71057
-0.226562 6.57665
-0.210938 6.44256
-0.195312 6.30838
-0.179688 6.1742
-0.164062 6.04009
-0.148438 5.90612
-0.132812 5.77235
-0.117188 5.63887
-0.101562 5.50569
-0.0859375 5.37288
-0.0703125 5.24054
-0.0546875 5.10855
-0.0390625 4.97696
-0.0234375 4.84577
-0.0078125 4.71482
0.0078125 4.58404
0.0234375 4.45335
0.0390625 4.32256
0.0546875 4.1915
0.0703125 4.05995
0.0859375 3.92772
0.101562 3.7946
0.117188 3.66038
0.132812 3.5249
0.148438 3.38801
0.164062 3.24961
0.179688 3.10961
0.195312 2.968
0.210938 2.82478
0.226562 2.68
0.242188 2.53376
0.257812 2.38617
0.273438 2.23742
0.289062 2.0878
0.304688 1.93774
0.320312 1.78794
0.335938 1.63934
0.351562 1.4934
0.367188 1.35217
0.382812 1.21836
0.398438 1.09522
0.414062 0.986329
0.429688 0.895052
0.445312 0.823925
0.460938 0.773984
0.476562 0.744209
0.492188 0.731479
